,name1,name2,label_color,edge_color
0,morgoth,sauron,#00FFFF,red
1,fëanor,morgoth,#00FF00,#A0CBE2
2,beren,fëanor,#008080,red
3,beren,sauron,#008080,#A0CBE2
4,beren,morgoth,#008080,#A0CBE2
5,gandalf,merry,#000080,green
6,gimli,legolas,#808000,#A0CBE2
7,gimli,merry,#808000,green
8,aragorn,merry,#008080,green
9,legolas,merry,#00FF00,green
10,aragorn,elrond,#008080,green
11,aragorn,gimli,#008080,green
12,aragorn,legolas,#008080,green
13,frodo,gandalf,#FFE4B5,red
14,frodo,gimli,#FFE4B5,#A0CBE2
15,frodo,legolas,#FFE4B5,red
16,gandalf,gimli,#000080,#A0CBE2
17,gandalf,legolas,#000080,red
18,boromir,merry,#008080,#A0CBE2
19,frodo,gollum,#FFE4B5,green
20,faramir,gandalf,#008080,green
21,aragorn,éomer,#008080,red
22,aragorn,faramir,#008080,#A0CBE2
23,aragorn,gandalf,#008080,red
24,gandalf,éomer,#000080,#A0CBE2
25,gimli,éomer,#808000,green
26,legolas,éomer,#00FF00,red
27,frodo,merry,#FFE4B5,#A0CBE2
28,faramir,merry,#008080,red
29,aragorn,frodo,#008080,#A0CBE2
30,faramir,frodo,#008080,red
31,bilbo,gandalf,#FFE4B5,#A0CBE2
32,elrond,gandalf,#98FB98,green
33,bilbo,elrond,#FFE4B5,red
34,elrond,frodo,#98FB98,#A0CBE2
35,frodo,tom,#FFE4B5,red
36,baggins,frodo,#FFE4B5,#A0CBE2
37,frodo,saruman,#FFE4B5,#A0CBE2
38,baggins,bilbo,#FFE4B5,red
39,bilbo,frodo,#FFE4B5,#A0CBE2
40,gandalf,saruman,#000080,green
41,aragorn,gollum,#008080,green
42,boromir,frodo,#008080,green
43,boromir,gandalf,#008080,red
44,aragorn,boromir,#008080,#A0CBE2
45,faramir,gollum,#008080,green
46,elrond,faramir,#98FB98,green
47,gimli,saruman,#808000,red
48,bilbo,merry,#FFE4B5,#A0CBE2
49,bilbo,gollum,#FFE4B5,green
50,merry,tom,#FFE4B5,green
51,bilbo,tom,#FFE4B5,#A0CBE2
52,gandalf,tom,#000080,#A0CBE2
53,elrond,sauron,#98FB98,green
54,saruman,sauron,#000080,green
55,beren,frodo,#008080,red
56,beren,bilbo,#008080,#A0CBE2
57,beren,merry,#008080,red
58,frodo,thorin,#FFE4B5,#A0CBE2
59,gandalf,thorin,#000080,green
60,bilbo,thorin,#FFE4B5,green
61,boromir,legolas,#008080,green
62,baggins,gandalf,#FFE4B5,red
63,baggins,thorin,#FFE4B5,#A0CBE2
64,elrond,thorin,#98FB98,green
